ctmmlabel,class,occu,release,count
fi,edge,moderate,west,0
fi,edge,high,west,0
fi,poor,low,west,93
fi,poor,moderate,west,3
fi,poor,high,west,0
fi,rich,low,west,26
fi,rich,moderate,west,1
fi,rich,high,west,0
fj,crop,high,west,0
fj,crop,low,west,2576
fj,crop,moderate,west,3
fj,edge,low,west,129
fj,edge,moderate,west,0
fj,edge,high,west,0
fj,poor,high,west,3
fj,poor,low,west,231
fj,poor,moderate,west,7
fj,rich,high,west,0
fj,rich,low,west,0
fj,rich,moderate,west,0
fq,edge,high,west,0
fq,edge,low,west,11
fq,edge,moderate,west,1
fq,poor,high,west,1
fq,poor,low,west,55
fq,poor,moderate,west,5
fq,crop,high,west,0
fq,crop,low,west,0
fq,crop,moderate,west,0
